{'C:\\\\DumpStack.log.tmp': {'R': False, 'W': False}}
{'C:\\\\hiberfil.sys': {'R': False, 'W': False}}
{'C:\\\\pagefile.sys': {'R': False, 'W': False}}
{'C:\\\\swapfile.sys': {'R': False, 'W': False}}
{'C:\\ProgramData\\Hewlett-Packard\\System Default Settings\\muires.dll': {'R': True, 'W': False}}
{'C:\\ProgramData\\Microsoft\\Windows\\Start Menu\\Programs\\Immersive Control Panel.lnk': {'R': True, 'W': False}}
{'C:\\Users\\Administrador\\Searches\\Everywhere.search-ms': {'R': True, 'W': False}}
{'C:\\Users\\Administrador\\Searches\\Indexed Locations.search-ms': {'R': True, 'W': False}}
{'C:\\Users\\marco\\AppData\\Local\\Microsoft\\OneNote\\16.0\\cache\\00000004.bin': {'R': True, 'W': False}}
{'C:\\Users\\marco\\AppData\\Local\\Microsoft\\OneNote\\16.0\\cache\\00000005.bin': {'R': True, 'W': False}}
{'C:\\Users\\marco\\AppData\\Local\\Microsoft\\OneNote\\16.0\\cache\\00000006.bin': {'R': True, 'W': False}}
{'C:\\Users\\marco\\AppData\\Local\\Microsoft\\OneNote\\16.0\\cache\\00000007.bin': {'R': True, 'W': False}}
{'C:\\Users\\marco\\AppData\\Local\\Microsoft\\OneNote\\16.0\\cache\\00000009.bin': {'R': True, 'W': False}}
{'C:\\Users\\marco\\AppData\\Local\\Microsoft\\OneNote\\16.0\\cache\\0000000A.bin': {'R': True, 'W': False}}
{'C:\\Users\\marco\\AppData\\Local\\Microsoft\\OneNote\\16.0\\cache\\0000000B.bin': {'R': True, 'W': False}}
{'C:\\Users\\marco\\AppData\\Local\\Microsoft\\OneNote\\16.0\\cache\\0000000C.bin': {'R': True, 'W': False}}
{'C:\\Users\\marco\\AppData\\Local\\Microsoft\\OneNote\\16.0\\cache\\0000000D.bin': {'R': True, 'W': False}}
{'C:\\Users\\marco\\AppData\\Local\\Microsoft\\OneNote\\16.0\\cache\\0000000E.bin': {'R': True, 'W': False}}
{'C:\\Users\\marco\\AppData\\Local\\Microsoft\\OneNote\\16.0\\cache\\0000000F.bin': {'R': True, 'W': False}}
{'C:\\Users\\marco\\AppData\\Local\\Microsoft\\OneNote\\16.0\\cache\\0000000G.bin': {'R': True, 'W': False}}
{'C:\\Users\\marco\\AppData\\Local\\Microsoft\\OneNote\\16.0\\cache\\0000000H.bin': {'R': True, 'W': False}}
{'C:\\Users\\marco\\AppData\\Local\\Microsoft\\OneNote\\16.0\\cache\\0000000L.bin': {'R': True, 'W': False}}
{'C:\\Users\\marco\\AppData\\Local\\Microsoft\\OneNote\\16.0\\cache\\0000000M.bin': {'R': True, 'W': False}}
{'C:\\Users\\marco\\AppData\\Local\\Microsoft\\OneNote\\16.0\\cache\\0000000N.bin': {'R': True, 'W': False}}
{'C:\\Users\\marco\\AppData\\Local\\Microsoft\\OneNote\\16.0\\cache\\0000000O.bin': {'R': True, 'W': False}}
{'C:\\Users\\marco\\AppData\\Local\\Microsoft\\OneNote\\16.0\\cache\\0000000P.bin': {'R': True, 'W': False}}
{'C:\\Users\\marco\\AppData\\Local\\Microsoft\\OneNote\\16.0\\cache\\0000000Q.bin': {'R': True, 'W': False}}
{'C:\\Users\\marco\\AppData\\Local\\Microsoft\\OneNote\\16.0\\cache\\0000000R.bin': {'R': True, 'W': False}}
{'C:\\Users\\marco\\AppData\\Local\\Microsoft\\OneNote\\16.0\\cache\\0000000S.bin': {'R': True, 'W': False}}
{'C:\\Users\\marco\\AppData\\Local\\Microsoft\\OneNote\\16.0\\cache\\0000000T.bin': {'R': True, 'W': False}}
{'C:\\Users\\marco\\AppData\\Local\\Microsoft\\OneNote\\16.0\\cache\\0000000U.bin': {'R': True, 'W': False}}
{'C:\\Users\\marco\\AppData\\Local\\Microsoft\\OneNote\\16.0\\cache\\0000000V.bin': {'R': True, 'W': False}}
{'C:\\Users\\marco\\AppData\\Local\\Microsoft\\OneNote\\16.0\\cache\\00000010.bin': {'R': True, 'W': False}}
{'C:\\Users\\marco\\AppData\\Local\\Microsoft\\OneNote\\16.0\\cache\\00000011.bin': {'R': True, 'W': False}}
{'C:\\Users\\marco\\AppData\\Local\\Microsoft\\OneNote\\16.0\\cache\\00000012.bin': {'R': True, 'W': False}}
{'C:\\Users\\marco\\AppData\\Local\\Microsoft\\OneNote\\16.0\\cache\\00000013.bin': {'R': True, 'W': False}}
{'C:\\Users\\marco\\AppData\\Local\\Microsoft\\OneNote\\16.0\\cache\\00000014.bin': {'R': True, 'W': False}}
{'C:\\Users\\marco\\AppData\\Local\\Microsoft\\OneNote\\16.0\\cache\\00000015.bin': {'R': True, 'W': False}}
{'C:\\Users\\marco\\AppData\\Local\\Microsoft\\OneNote\\16.0\\cache\\00000016.bin': {'R': True, 'W': False}}
{'C:\\Users\\marco\\AppData\\Local\\Microsoft\\OneNote\\16.0\\cache\\00000017.bin': {'R': True, 'W': False}}
{'C:\\Users\\marco\\AppData\\Local\\Microsoft\\OneNote\\16.0\\cache\\00000018.bin': {'R': True, 'W': False}}
{'C:\\Users\\marco\\AppData\\Local\\Microsoft\\OneNote\\16.0\\cache\\00000050.bin': {'R': True, 'W': False}}
{'C:\\Users\\marco\\AppData\\Local\\Microsoft\\OneNote\\16.0\\cache\\00000052.bin': {'R': True, 'W': False}}
{'C:\\Users\\marco\\AppData\\Local\\Microsoft\\OneNote\\16.0\\cache\\00000054.bin': {'R': True, 'W': False}}
{'C:\\Users\\marco\\AppData\\Local\\Microsoft\\OneNote\\16.0\\cache\\00000056.bin': {'R': True, 'W': False}}
{'C:\\Users\\marco\\AppData\\Local\\Microsoft\\OneNote\\16.0\\cache\\00000058.bin': {'R': True, 'W': False}}
{'C:\\Users\\marco\\AppData\\Local\\Microsoft\\OneNote\\16.0\\cache\\0000006D.bin': {'R': True, 'W': False}}
{'C:\\Users\\marco\\AppData\\Local\\Packages\\Microsoft.MicrosoftOfficeHub_8wekyb3d8bbwe\\AC\\Microsoft\\ServiceWorkerFiles\\30364F59-ACC5-480F-B36B-17DC6718A46C\\F8363NWCFns_1.bytecode': {'R': True, 'W': False}}
{'C:\\Users\\marco\\AppData\\Local\\Packages\\Microsoft.MicrosoftOfficeHub_8wekyb3d8bbwe\\AC\\Microsoft\\ServiceWorkerFiles\\30364F59-ACC5-480F-B36B-17DC6718A46C\\F8363NWCFns_1.js': {'R': True, 'W': False}}
{'C:\\Users\\marco\\AppData\\Local\\Packages\\Microsoft.MicrosoftOfficeHub_8wekyb3d8bbwe\\AC\\Microsoft\\ServiceWorkerFiles\\30364F59-ACC5-480F-B36B-17DC6718A46C\\F8363NWCFns_1.metadata': {'R': True, 'W': False}}
{'C:\\Users\\marco\\AppData\\Local\\Packages\\Microsoft.MicrosoftOfficeHub_8wekyb3d8bbwe\\AC\\Microsoft\\ServiceWorkerFiles\\30364F59-ACC5-480F-B36B-17DC6718A46C\\I3s_KWf5tFQ_1.bytecode': {'R': True, 'W': False}}
{'C:\\Users\\marco\\AppData\\Local\\Packages\\Microsoft.MicrosoftOfficeHub_8wekyb3d8bbwe\\AC\\Microsoft\\ServiceWorkerFiles\\30364F59-ACC5-480F-B36B-17DC6718A46C\\I3s_KWf5tFQ_1.js': {'R': True, 'W': False}}
{'C:\\Users\\marco\\AppData\\Local\\Packages\\Microsoft.MicrosoftOfficeHub_8wekyb3d8bbwe\\AC\\Microsoft\\ServiceWorkerFiles\\30364F59-ACC5-480F-B36B-17DC6718A46C\\I3s_KWf5tFQ_1.metadata': {'R': True, 'W': False}}
{'C:\\Users\\marco\\AppData\\Local\\Packages\\Microsoft.MicrosoftOfficeHub_8wekyb3d8bbwe\\AC\\Microsoft\\ServiceWorkerFiles\\30364F59-ACC5-480F-B36B-17DC6718A46C\\oqiq81n-JOI_1.bytecode': {'R': True, 'W': False}}
{'C:\\Users\\marco\\AppData\\Local\\Packages\\Microsoft.MicrosoftOfficeHub_8wekyb3d8bbwe\\AC\\Microsoft\\ServiceWorkerFiles\\30364F59-ACC5-480F-B36B-17DC6718A46C\\oqiq81n-JOI_1.js': {'R': True, 'W': False}}
{'C:\\Users\\marco\\AppData\\Local\\Packages\\Microsoft.MicrosoftOfficeHub_8wekyb3d8bbwe\\AC\\Microsoft\\ServiceWorkerFiles\\30364F59-ACC5-480F-B36B-17DC6718A46C\\oqiq81n-JOI_1.metadata': {'R': True, 'W': False}}
{'C:\\Users\\marco\\AppData\\Local\\Packages\\Microsoft.MicrosoftOfficeHub_8wekyb3d8bbwe\\AC\\Microsoft\\ServiceWorkerFiles\\30364F59-ACC5-480F-B36B-17DC6718A46C\\PxgOvmrqDkM_1.bytecode': {'R': True, 'W': False}}
{'C:\\Users\\marco\\AppData\\Local\\Packages\\Microsoft.MicrosoftOfficeHub_8wekyb3d8bbwe\\AC\\Microsoft\\ServiceWorkerFiles\\30364F59-ACC5-480F-B36B-17DC6718A46C\\PxgOvmrqDkM_1.js': {'R': True, 'W': False}}
{'C:\\Users\\marco\\AppData\\Local\\Packages\\Microsoft.MicrosoftOfficeHub_8wekyb3d8bbwe\\AC\\Microsoft\\ServiceWorkerFiles\\30364F59-ACC5-480F-B36B-17DC6718A46C\\PxgOvmrqDkM_1.metadata': {'R': True, 'W': False}}
{'C:\\Users\\marco\\AppData\\Local\\Packages\\Microsoft.MicrosoftOfficeHub_8wekyb3d8bbwe\\AC\\Microsoft\\ServiceWorkerFiles\\30364F59-ACC5-480F-B36B-17DC6718A46C\\QDXOwomuLUM_1.bytecode': {'R': True, 'W': False}}
{'C:\\Users\\marco\\AppData\\Local\\Packages\\Microsoft.MicrosoftOfficeHub_8wekyb3d8bbwe\\AC\\Microsoft\\ServiceWorkerFiles\\30364F59-ACC5-480F-B36B-17DC6718A46C\\QDXOwomuLUM_1.js': {'R': True, 'W': False}}
{'C:\\Users\\marco\\AppData\\Local\\Packages\\Microsoft.MicrosoftOfficeHub_8wekyb3d8bbwe\\AC\\Microsoft\\ServiceWorkerFiles\\30364F59-ACC5-480F-B36B-17DC6718A46C\\QDXOwomuLUM_1.metadata': {'R': True, 'W': False}}
{'C:\\Users\\marco\\AppData\\Local\\Packages\\Microsoft.MicrosoftOfficeHub_8wekyb3d8bbwe\\AC\\Microsoft\\ServiceWorkerFiles\\30364F59-ACC5-480F-B36B-17DC6718A46C\\t-TgqzGdumg_1.bytecode': {'R': True, 'W': False}}
{'C:\\Users\\marco\\AppData\\Local\\Packages\\Microsoft.MicrosoftOfficeHub_8wekyb3d8bbwe\\AC\\Microsoft\\ServiceWorkerFiles\\30364F59-ACC5-480F-B36B-17DC6718A46C\\t-TgqzGdumg_1.js': {'R': True, 'W': False}}
{'C:\\Users\\marco\\AppData\\Local\\Packages\\Microsoft.MicrosoftOfficeHub_8wekyb3d8bbwe\\AC\\Microsoft\\ServiceWorkerFiles\\30364F59-ACC5-480F-B36B-17DC6718A46C\\t-TgqzGdumg_1.metadata': {'R': True, 'W': False}}
{'C:\\Users\\marco\\AppData\\Local\\Packages\\Microsoft.MicrosoftOfficeHub_8wekyb3d8bbwe\\AC\\Microsoft\\ServiceWorkerFiles\\30364F59-ACC5-480F-B36B-17DC6718A46C\\tSRigQdboHA_1.bytecode': {'R': True, 'W': False}}
{'C:\\Users\\marco\\AppData\\Local\\Packages\\Microsoft.MicrosoftOfficeHub_8wekyb3d8bbwe\\AC\\Microsoft\\ServiceWorkerFiles\\30364F59-ACC5-480F-B36B-17DC6718A46C\\tSRigQdboHA_1.js': {'R': True, 'W': False}}
{'C:\\Users\\marco\\AppData\\Local\\Packages\\Microsoft.MicrosoftOfficeHub_8wekyb3d8bbwe\\AC\\Microsoft\\ServiceWorkerFiles\\30364F59-ACC5-480F-B36B-17DC6718A46C\\tSRigQdboHA_1.metadata': {'R': True, 'W': False}}
{'C:\\Users\\marco\\AppData\\Local\\Packages\\Microsoft.MicrosoftOfficeHub_8wekyb3d8bbwe\\AC\\Microsoft\\ServiceWorkerFiles\\B6E778BF-8052-4344-A829-F85B1DB10BDB\\F8363NWCFns_1.bytecode': {'R': True, 'W': False}}
{'C:\\Users\\marco\\AppData\\Local\\Packages\\Microsoft.MicrosoftOfficeHub_8wekyb3d8bbwe\\AC\\Microsoft\\ServiceWorkerFiles\\B6E778BF-8052-4344-A829-F85B1DB10BDB\\F8363NWCFns_1.js': {'R': True, 'W': False}}
{'C:\\Users\\marco\\AppData\\Local\\Packages\\Microsoft.MicrosoftOfficeHub_8wekyb3d8bbwe\\AC\\Microsoft\\ServiceWorkerFiles\\B6E778BF-8052-4344-A829-F85B1DB10BDB\\F8363NWCFns_1.metadata': {'R': True, 'W': False}}
{'C:\\Users\\marco\\AppData\\Local\\Packages\\Microsoft.MicrosoftOfficeHub_8wekyb3d8bbwe\\AC\\Microsoft\\ServiceWorkerFiles\\B6E778BF-8052-4344-A829-F85B1DB10BDB\\I3s_KWf5tFQ_1.bytecode': {'R': True, 'W': False}}
{'C:\\Users\\marco\\AppData\\Local\\Packages\\Microsoft.MicrosoftOfficeHub_8wekyb3d8bbwe\\AC\\Microsoft\\ServiceWorkerFiles\\B6E778BF-8052-4344-A829-F85B1DB10BDB\\I3s_KWf5tFQ_1.js': {'R': True, 'W': False}}
{'C:\\Users\\marco\\AppData\\Local\\Packages\\Microsoft.MicrosoftOfficeHub_8wekyb3d8bbwe\\AC\\Microsoft\\ServiceWorkerFiles\\B6E778BF-8052-4344-A829-F85B1DB10BDB\\I3s_KWf5tFQ_1.metadata': {'R': True, 'W': False}}
